Test Epoch: 102, Accuracy: 70.930, Precision: 71.307, Recall: 70.930, F1: 70.577, L_1: 30685, U_1: 19315, L_2: 30328, U_2: 19672
Test Epoch: 103, Accuracy: 70.990, Precision: 71.482, Recall: 70.990, F1: 70.646, L_1: 30572, U_1: 19428, L_2: 30322, U_2: 19678
Test Epoch: 104, Accuracy: 71.010, Precision: 71.295, Recall: 71.010, F1: 70.559, L_1: 30743, U_1: 19257, L_2: 30280, U_2: 19720
Test Epoch: 105, Accuracy: 71.010, Precision: 71.211, Recall: 71.010, F1: 70.596, L_1: 30608, U_1: 19392, L_2: 30666, U_2: 19334
Test Epoch: 106, Accuracy: 71.370, Precision: 71.685, Recall: 71.370, F1: 70.907, L_1: 30686, U_1: 19314, L_2: 30734, U_2: 19266
Test Epoch: 107, Accuracy: 70.860, Precision: 71.087, Recall: 70.860, F1: 70.451, L_1: 30597, U_1: 19403, L_2: 30704, U_2: 19296
Test Epoch: 108, Accuracy: 71.810, Precision: 71.706, Recall: 71.810, F1: 71.305, L_1: 30456, U_1: 19544, L_2: 30382, U_2: 19618
Test Epoch: 109, Accuracy: 71.170, Precision: 71.555, Recall: 71.170, F1: 70.801, L_1: 30595, U_1: 19405, L_2: 30485, U_2: 19515
Test Epoch: 110, Accuracy: 71.470, Precision: 71.569, Recall: 71.470, F1: 71.014, L_1: 30808, U_1: 19192, L_2: 30441, U_2: 19559
Test Epoch: 111, Accuracy: 71.240, Precision: 71.200, Recall: 71.240, F1: 70.708, L_1: 30823, U_1: 19177, L_2: 30707, U_2: 19293
Test Epoch: 112, Accuracy: 71.610, Precision: 71.745, Recall: 71.610, F1: 71.097, L_1: 30797, U_1: 19203, L_2: 30404, U_2: 19596
Test Epoch: 113, Accuracy: 71.390, Precision: 71.838, Recall: 71.390, F1: 71.020, L_1: 31029, U_1: 18971, L_2: 30592, U_2: 19408
Test Epoch: 114, Accuracy: 71.550, Precision: 71.942, Recall: 71.550, F1: 71.196, L_1: 30311, U_1: 19689, L_2: 30657, U_2: 19343
Test Epoch: 115, Accuracy: 70.850, Precision: 71.008, Recall: 70.850, F1: 70.389, L_1: 30849, U_1: 19151, L_2: 30517, U_2: 19483
Test Epoch: 116, Accuracy: 71.600, Precision: 72.160, Recall: 71.600, F1: 71.266, L_1: 30448, U_1: 19552, L_2: 30403, U_2: 19597
Test Epoch: 117, Accuracy: 71.220, Precision: 71.579, Recall: 71.220, F1: 70.834, L_1: 30770, U_1: 19230, L_2: 30821, U_2: 19179
Test Epoch: 118, Accuracy: 71.380, Precision: 71.592, Recall: 71.380, F1: 70.947, L_1: 30679, U_1: 19321, L_2: 30490, U_2: 19510
Test Epoch: 119, Accuracy: 71.390, Precision: 71.847, Recall: 71.390, F1: 71.097, L_1: 30600, U_1: 19400, L_2: 30413, U_2: 19587
